"Subject","TEST PHASE","Condition","Ortho Target ","Ortho Production","Phono Target","Phono production"
"1.0","PRE","HIGH","purine","purene","pyRin","pyRin"
"1.0","POST","HIGH","purine","purene","pyRin","pyRin"
"1.0","PRE","HIGH","dynein","dynean","dYnin","dYnin"
"1.0","POST","HIGH","dynein","dinein","dYnin","dYnin"
"1.0","PRE","HIGH","kinesin","kenesim","kInisxn","kInisxm"
"1.0","POST","HIGH","kinesin","kenesin","kInisxn","kInisxn"
"1.0","PRE","HIGH","isotope","izotop","Ysxtop","Yzxtop"
"1.0","POST","HIGH","isotope","isutop","Ysxtop","Ysutop"
